Organism,RA,TAXID,Source,SampleID,Pipeline
[Eubacterium] eligens,0.0,39485,Expected,S2,camisimGI
Lacinutrix venerupis,0.0,1486034,Expected,S2,camisimGI
Lachnoclostridium sp. YL32,0.0,1834196,Expected,S2,camisimGI
Atopobium parvulum,0.0,1382,Expected,S2,camisimGI
Alkaliphilus metalliredigens,0.0,208226,Expected,S2,camisimGI
Ruminiclostridium sp. KB18,0.0,1834198,Expected,S2,camisimGI
Prevotella sp. oral taxon 299,0.0,652716,Expected,S2,camisimGI
Burkholderia sp. RPE64,0.0,758793,Expected,S2,camisimGI
Aerococcus urinae,0.0,1376,Expected,S2,camisimGI
Burkholderia pseudomultivorans,0.0,1207504,Expected,S2,camisimGI
Porphyromonas asaccharolytica,0.0,28123,Expected,S2,camisimGI
Formosa sp. Hel1_33_131,0.0,1336794,Expected,S2,camisimGI
Clostridium formicaceticum,0.0,1497,Expected,S2,camisimGI
Clostridioides difficile,0.0,1496,Expected,S2,camisimGI
Desulfotomaculum ruminis,0.0,1564,Expected,S2,camisimGI
Odoribacter splanchnicus,0.0,28118,Expected,S2,camisimGI
Lachnoclostridium phocaeense,0.0,1871021,Expected,S2,camisimGI
Collimonas fungivorans,0.0,158899,Expected,S2,camisimGI
Sphaerochaeta globosa,0.0,1131703,Expected,S2,camisimGI
Salegentibacter sp. T436,0.0,1729720,Expected,S2,camisimGI
Tannerella forsythia,0.0,28112,Expected,S2,camisimGI
Elizabethkingia anophelis,0.0,1117645,Expected,S2,camisimGI
Burkholderia ubonensis,0.0,101571,Expected,S2,camisimGI
Polaribacter reichenbachii,0.0,996801,Expected,S2,camisimGI
Burkholderia gladioli,0.0,28095,Expected,S2,camisimGI
Neisseria weaveri,0.0,28091,Expected,S2,camisimGI
Actinomyces sp. oral taxon 414,0.0,712122,Expected,S2,camisimGI
Aerococcus viridans,0.0,1377,Expected,S2,camisimGI
Lactococcus piscium,0.0,1364,Expected,S2,camisimGI
Burkholderia cenocepacia,0.0,95486,Expected,S2,camisimGI
Streptococcus thermophilus,0.0,1308,Expected,S2,camisimGI
Riemerella anatipestifer,0.0,34085,Expected,S2,camisimGI
Candidatus Arthromitus sp. SFB-mouse-NL,0.0,1508644,Expected,S2,camisimGI
Paraburkholderia rhizoxinica,0.0,412963,Expected,S2,camisimGI
Streptococcus pyogenes,0.0,1314,Expected,S2,camisimGI
Streptococcus pneumoniae,0.0,1313,Expected,S2,camisimGI
Streptococcus agalactiae,0.0,1311,Expected,S2,camisimGI
Streptococcus mutans,0.0,1309,Expected,S2,camisimGI
Streptococcus suis,0.0,1307,Expected,S2,camisimGI
Streptococcus parasanguinis,0.0,1318,Expected,S2,camisimGI
Burkholderia metallica,0.0,488729,Expected,S2,camisimGI
Streptococcus salivarius,0.0,1304,Expected,S2,camisimGI
Streptococcus oralis,0.0,1303,Expected,S2,camisimGI
Streptococcus gordonii,0.0,1302,Expected,S2,camisimGI
Bordetella sp. H567,0.0,1697043,Expected,S2,camisimGI
Staphylococcus xylosus,0.0,1288,Expected,S2,camisimGI
Bacteroides helcogenes,0.0,290053,Expected,S2,camisimGI
Clostridium estertheticum,0.0,238834,Expected,S2,camisimGI
Sediminicola sp. YIK13,0.0,1453352,Expected,S2,camisimGI
Lactococcus garvieae,0.0,1363,Expected,S2,camisimGI
Erysipelotrichaceae bacterium I46,0.0,1834207,Expected,S2,camisimGI
Streptococcus sp. I-P16,0.0,1156433,Expected,S2,camisimGI
Streptococcus sp. I-G2,0.0,1156431,Expected,S2,camisimGI
Lactococcus lactis,0.0,1358,Expected,S2,camisimGI
Enterococcus faecalis,0.0,1351,Expected,S2,camisimGI
Streptococcus uberis,0.0,1349,Expected,S2,camisimGI
Streptococcus parauberis,0.0,1348,Expected,S2,camisimGI
Streptococcus iniae,0.0,1346,Expected,S2,camisimGI
Treponema sp. OMZ 838,0.0,1539298,Expected,S2,camisimGI
Treponema azotonutricium,0.0,150829,Expected,S2,camisimGI
Streptobacillus moniliformis,0.0,34105,Expected,S2,camisimGI
Treponema caldarium,0.0,215591,Expected,S2,camisimGI
Streptococcus equi,0.0,1336,Expected,S2,camisimGI
Ethanoligenens harbinense,0.0,253239,Expected,S2,camisimGI
Streptococcus dysgalactiae,0.0,1334,Expected,S2,camisimGI
Streptococcus anginosus,0.0,1328,Expected,S2,camisimGI
Ruminococcus albus,0.0,1264,Expected,S2,camisimGI
Streptococcus intermedius,0.0,1338,Expected,S2,camisimGI
Filifactor alocis,0.0,143361,Expected,S2,camisimGI
Prevotella denticola,0.0,28129,Expected,S2,camisimGI
Treponema putidum,0.0,221027,Expected,S2,camisimGI
Gardnerella vaginalis,0.0,2702,Expected,S2,camisimGI
Burkholderia territorii,0.0,1503055,Expected,S2,camisimGI
Burkholderia multivorans,0.0,87883,Expected,S2,camisimGI
Alistipes finegoldii,0.0,214856,Expected,S2,camisimGI
Actinomyces oris,0.0,544580,Expected,S2,camisimGI
Burkholderia pseudomallei,0.0,28450,Expected,S2,camisimGI
Anaerotignum propionicum,0.0,28446,Expected,S2,camisimGI
Deinococcus geothermalis,0.0,68909,Expected,S2,camisimGI
Corynebacterium casei,0.0,160386,Expected,S2,camisimGI
Bifidobacterium longum,0.0,216816,Expected,S2,camisimGI
Clostridium sp. SY8519,0.0,1042156,Expected,S2,camisimGI
Streptococcus pseudopneumoniae,0.0,257758,Expected,S2,camisimGI
Ilyobacter polytropus,0.0,167642,Expected,S2,camisimGI
Carnobacterium sp. 17-4,0.0,208596,Expected,S2,camisimGI
Propionibacterium freudenreichii,0.0,1744,Expected,S2,camisimGI
Clostridium taeniosporum,0.0,394958,Expected,S2,camisimGI
Burkholderia thailandensis,0.0,57975,Expected,S2,camisimGI
Eubacterium limosum,0.0,1736,Expected,S2,camisimGI
Peptoclostridium acidaminophilum,0.0,1731,Expected,S2,camisimGI
Selenomonas sp. oral taxon 478,0.0,712538,Expected,S2,camisimGI
Bifidobacterium bifidum,0.0,1681,Expected,S2,camisimGI
Prevotella intermedia,0.0,28131,Expected,S2,camisimGI
Pseudomonas stutzeri,0.0,316,Expected,S2,camisimGI
Myroides sp. A21,0.0,1583100,Expected,S2,camisimGI
Treponema primitia,0.0,88058,Expected,S2,camisimGI
[Mannheimia] succiniciproducens,0.0,157673,Expected,S2,camisimGI
Bacteroides salanitronis,0.0,376805,Expected,S2,camisimGI
Algibacter alginicilyticus,0.0,1736674,Expected,S2,camisimGI
Candidatus Arthromitus sp. SFB-mouse,0.0,49118,Expected,S2,camisimGI
Fusobacterium hwasookii,0.0,1583098,Expected,S2,camisimGI
Actinomyces sp. VUL4_3,0.0,1912795,Expected,S2,camisimGI
Muricauda lutaonensis,0.0,516051,Expected,S2,camisimGI
Mageeibacillus indolicus,0.0,884684,Expected,S2,camisimGI
Burkholderia sp. YI23,0.0,1097668,Expected,S2,camisimGI
Streptococcus himalayensis,0.0,1888195,Expected,S2,camisimGI
Streptococcus sp. oral taxon 431,0.0,712633,Expected,S2,camisimGI
Aerococcus urinaehominis,0.0,128944,Expected,S2,camisimGI
Streptococcus macedonicus,0.0,59310,Expected,S2,camisimGI
Flavobacterium branchiophilum,0.0,55197,Expected,S2,camisimGI
Flavobacterium commune,0.0,1306519,Expected,S2,camisimGI
Clostridium saccharoperbutylacetonicum,0.0,36745,Expected,S2,camisimGI
Bifidobacterium breve,0.0,1685,Expected,S2,camisimGI
Corynebacterium variabile,0.0,1727,Expected,S2,camisimGI
Corynebacterium pseudotuberculosis,0.0,1719,Expected,S2,camisimGI
Corynebacterium glutamicum,0.0,1718,Expected,S2,camisimGI
Corynebacterium diphtheriae,0.0,1717,Expected,S2,camisimGI
Mucinivorans hirudinis,0.0,1433126,Expected,S2,camisimGI
Actinomyces meyeri,0.0,52773,Expected,S2,camisimGI
Corynebacterium ulcerans,0.0,65058,Expected,S2,camisimGI
Desulfitobacterium metallireducens,0.0,142877,Expected,S2,camisimGI
Capnocytophaga canimorsus,0.0,28188,Expected,S2,camisimGI
Clostridium baratii,0.0,1561,Expected,S2,camisimGI
Ruminococcus bicirculans,0.0,1160721,Expected,S2,camisimGI
Clostridium novyi,0.0,1542,Expected,S2,camisimGI
Clostridium ljungdahlii,0.0,1538,Expected,S2,camisimGI
Clostridium kluyveri,0.0,1534,Expected,S2,camisimGI
Propionibacterium sp. oral taxon 193,0.0,671223,Expected,S2,camisimGI
Aerococcus christensenii,0.0,87541,Expected,S2,camisimGI
[Clostridium] cellulolyticum,0.0,1521,Expected,S2,camisimGI
Clostridium beijerinckii,0.0,1520,Expected,S2,camisimGI
Clostridium tyrobutyricum,0.0,1519,Expected,S2,camisimGI
Clostridium tetani,0.0,1513,Expected,S2,camisimGI
Acetoanaerobium sticklandii,0.0,1511,Expected,S2,camisimGI
Campylobacter jejuni,0.0,197,Expected,S2,camisimGI
Prevotella melaninogenica,0.0,28132,Expected,S2,camisimGI
Lactobacillus delbrueckii,0.0,1584,Expected,S2,camisimGI
Myroides profundi,0.0,480520,Expected,S2,camisimGI
Lactobacillus plantarum,0.0,1590,Expected,S2,camisimGI
Trueperella pyogenes,0.0,1661,Expected,S2,camisimGI
Leptotrichia sp. oral taxon 212,0.0,712357,Expected,S2,camisimGI
Streptococcus halotolerans,0.0,1814128,Expected,S2,camisimGI
Streptococcus sanguinis,0.0,1305,Expected,S2,camisimGI
Cloacibacillus porcorum,0.0,1197717,Expected,S2,camisimGI
Capnocytophaga sp. oral taxon 323,0.0,1705617,Expected,S2,camisimGI
Bifidobacterium adolescentis,0.0,1680,Expected,S2,camisimGI
Chryseobacterium sp. StRB126,0.0,878220,Expected,S2,camisimGI
Sulfurospirillum barnesii,0.0,44674,Expected,S2,camisimGI
Prevotella fusca,0.0,589436,Expected,S2,camisimGI
Corynebacterium epidermidicanis,0.0,1050174,Expected,S2,camisimGI
Erysipelothrix rhusiopathiae,0.0,1648,Expected,S2,camisimGI
Arcanobacterium haemolyticum,0.0,28264,Expected,S2,camisimGI
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0,1644131,Expected,S2,camisimGI
Desulfitobacterium dichloroeliminans,0.0,233055,Expected,S2,camisimGI
Leptotrichia buccalis,0.0,40542,Expected,S2,camisimGI
Ornithobacterium rhinotracheale,0.0,28251,Expected,S2,camisimGI
Mannheimia sp. USDA-ARS-USMARC-1261,0.0,1432056,Expected,S2,camisimGI
Lactobacillus fermentum,0.0,1613,Expected,S2,camisimGI
Acetobacterium woodii,0.0,33952,Expected,S2,camisimGI
Gramella forsetii,0.0,411153,Expected,S2,camisimGI
Campylobacter coli,0.0,195,Expected,S2,camisimGI
Arcobacter sp. L,0.0,944547,Expected,S2,camisimGI
Methylobacterium extorquens,0.0,408,Expected,S2,camisimGI
Negativicoccus massiliensis,0.0,1702287,Expected,S2,camisimGI
Prevotella enoeca,0.0,76123,Expected,S2,camisimGI
Fermentimonas caenicola,0.0,1562970,Expected,S2,camisimGI
Faecalibaculum rodentium,0.0,1702221,Expected,S2,camisimGI
Selenomonas sp. oral taxon 136,0.0,713030,Expected,S2,camisimGI
Akkermansia muciniphila,0.0,239935,Expected,S2,camisimGI
Myroides sp. ZB35,0.0,1458492,Expected,S2,camisimGI
Ralstonia solanacearum,0.0,305,Expected,S2,camisimGI
Streptococcus marmotae,0.0,1825069,Expected,S2,camisimGI
Butyrivibrio proteoclasticus,0.0,43305,Expected,S2,camisimGI
Nonlabens sp. MIC269,0.0,1476901,Expected,S2,camisimGI
Burkholderia cepacia,0.0,292,Expected,S2,camisimGI
Pseudomonas aeruginosa,0.0,287,Expected,S2,camisimGI
Streptococcus infantarius,0.0,102684,Expected,S2,camisimGI
Actinobacillus succinogenes,0.0,67854,Expected,S2,camisimGI
Maribacter sp. HTCC2170,0.0,313603,Expected,S2,camisimGI
Ralstonia insidiosa,0.0,190721,Expected,S2,camisimGI
Carnobacterium inhibens,0.0,147709,Expected,S2,camisimGI
Bordetella petrii,0.0,94624,Expected,S2,camisimGI
Clostridium bornimense,0.0,1216932,Expected,S2,camisimGI
Croceibacter atlanticus,0.0,313588,Expected,S2,camisimGI
Aerococcus sanguinicola,0.0,119206,Expected,S2,camisimGI
Streptococcus cristatus,0.0,45634,Expected,S2,camisimGI
Klebsiella pneumoniae,0.0,573,Expected,S2,camisimGI
Escherichia coli,0.0,562,Expected,S2,camisimGI
Streptococcus lutetiensis,0.0,150055,Expected,S2,camisimGI
Streptococcus sp. VT 162,0.0,1419814,Expected,S2,camisimGI
Turicibacter sp. H121,0.0,1712675,Expected,S2,camisimGI
Bordetella parapertussis,0.0,519,Expected,S2,camisimGI
Bordetella bronchiseptica,0.0,518,Expected,S2,camisimGI
Bacteroides caecimuris,0.0,1796613,Expected,S2,camisimGI
Kingella kingae,0.0,504,Expected,S2,camisimGI
Neisseria elongata,0.0,495,Expected,S2,camisimGI
Neisseria meningitidis,0.0,487,Expected,S2,camisimGI
Neisseria lactamica,0.0,486,Expected,S2,camisimGI
Neisseria gonorrhoeae,0.0,485,Expected,S2,camisimGI
Moraxella catarrhalis,0.0,480,Expected,S2,camisimGI
Streptococcus pantholopis,0.0,1811193,Expected,S2,camisimGI
Aerococcus urinaeequi,0.0,51665,Expected,S2,camisimGI
Pediococcus damnosus,0.0,51663,Expected,S2,camisimGI
Actinomyces radicidentis,0.0,111015,Expected,S2,camisimGI
Polynucleobacter duraquae,0.0,1835254,Expected,S2,camisimGI
Salmonella enterica,0.0,28901,Expected,S2,camisimGI
Cupriavidus gilardii,0.0,82541,Expected,S2,camisimGI
Clostridium sp. BNL1100,0.0,755731,Expected,S2,camisimGI
Selenomonas sp. oral taxon 920,0.0,1884263,Expected,S2,camisimGI
Lutibacter profundi,0.0,1622118,Expected,S2,camisimGI
Flavobacterium psychrophilum,0.0,96345,Expected,S2,camisimGI
Akkermansia glycaniphila,0.0,1679444,Expected,S2,camisimGI
Clostridium carboxidivorans,0.0,217159,Expected,S2,camisimGI
Corynebacterium ureicelerivorans,0.0,401472,Expected,S2,camisimGI
[Clostridium] saccharolyticum,0.0,84030,Expected,S2,camisimGI
Campylobacter subantarcticus,0.0,497724,Expected,S2,camisimGI
Bordetella pseudohinzii,0.0,1331258,Expected,S2,camisimGI
Clostridium autoethanogenum,0.0,84023,Expected,S2,camisimGI
Snodgrassella alvi,0.0,1196083,Expected,S2,camisimGI
Mycoplasma gallisepticum,0.0,2096,Expected,S2,camisimGI
Mycoplasma capricolum,0.0,2095,Expected,S2,camisimGI
Peptoniphilus sp. ING2-D1G,0.0,1912856,Expected,S2,camisimGI
Prevotella dentalis,0.0,52227,Expected,S2,camisimGI
Sulfurospirillum deleyianum,0.0,65553,Expected,S2,camisimGI
Streptococcus gallolyticus,0.0,315405,Expected,S2,camisimGI
Carnobacterium sp. CP1,0.0,1564681,Expected,S2,camisimGI
Tannerella sp. oral taxon HOT-286,0.0,712710,Expected,S2,camisimGI
Actinotignum schaalii,0.0,59505,Expected,S2,camisimGI
Gemella sp. oral taxon 928,0.0,1785995,Expected,S2,camisimGI
Desulfotomaculum reducens,0.0,59610,Expected,S2,camisimGI
Leptotrichia sp. oral taxon 847,0.0,1785996,Expected,S2,camisimGI
Mannheimia haemolytica,0.0,75985,Expected,S2,camisimGI
Cellulophaga algicola,0.0,59600,Expected,S2,camisimGI
Campylobacter lari,0.0,201,Expected,S2,camisimGI
Campylobacter curvus,0.0,200,Expected,S2,camisimGI
[Clostridium] clariflavum,0.0,288965,Expected,S2,camisimGI
Campylobacter fetus,0.0,196,Expected,S2,camisimGI
Cryptobacterium curtum,0.0,84163,Expected,S2,camisimGI
Selenomonas sputigena,0.0,69823,Expected,S2,camisimGI
Treponema paraluiscuniculi,0.0,53435,Expected,S2,camisimGI
Desulfitobacterium hafniense,0.0,49338,Expected,S2,camisimGI
Bordetella bronchialis,0.0,463025,Expected,S2,camisimGI
Streptococcus sp. A12,0.0,1759399,Expected,S2,camisimGI
Bordetella flabilis,0.0,463014,Expected,S2,camisimGI
Treponema pallidum,0.0,160,Expected,S2,camisimGI
Treponema denticola,0.0,158,Expected,S2,camisimGI
Spirochaeta thermophila,0.0,154,Expected,S2,camisimGI
Petrimonas mucosa,0.0,1642646,Expected,S2,camisimGI
Eggerthella lenta,0.0,84112,Expected,S2,camisimGI
Slackia heliotrinireducens,0.0,84110,Expected,S2,camisimGI
[Eubacterium] rectale,0.0,39491,Expected,S2,camisimGI
Bibersteinia trehalosi,0.0,47735,Expected,S2,camisimGI
Burkholderia vietnamiensis,0.0,60552,Expected,S2,camisimGI
Streptococcus pasteurianus,0.0,197614,Expected,S2,camisimGI
Bordetella holmesii,0.0,35814,Expected,S2,camisimGI
Flavobacterium columnare,0.0,996,Expected,S2,camisimGI
Actinomyces pacaensis,0.0,1852377,Expected,S2,camisimGI
Cellulophaga lytica,0.0,979,Expected,S2,camisimGI
Lacinutrix sp. 5H-3-7-4,0.0,983544,Expected,S2,camisimGI
Arcobacter butzleri,0.0,28197,Expected,S2,camisimGI
Selenomonas ruminantium,0.0,971,Expected,S2,camisimGI
Moraxella bovoculi,0.0,386891,Expected,S2,camisimGI
Roseateles depolymerans,0.0,76731,Expected,S2,camisimGI
Burkholderia dolosa,0.0,152500,Expected,S2,camisimGI
Geosporobacter ferrireducens,0.0,1424294,Expected,S2,camisimGI
Muricauda ruestringensis,0.0,111501,Expected,S2,camisimGI
Tenacibaculum sp. LPB0136,0.0,1850252,Expected,S2,camisimGI
Megasphaera elsdenii,0.0,907,Expected,S2,camisimGI
Taylorella equigenitalis,0.0,29575,Expected,S2,camisimGI
Lutibacter sp. LPB0138,0.0,1850246,Expected,S2,camisimGI
Desulfovibrio piger,0.0,901,Expected,S2,camisimGI
Desulfovibrio vulgaris,0.0,881,Expected,S2,camisimGI
Desulfovibrio salexigens,0.0,880,Expected,S2,camisimGI
Treponema succinifaciens,0.0,167,Expected,S2,camisimGI
Weeksella virosa,0.0,1014,Expected,S2,camisimGI
Lawsonia intracellularis,0.0,29546,Expected,S2,camisimGI
Capnocytophaga ochracea,0.0,1018,Expected,S2,camisimGI
Treponema brennaborense,0.0,81028,Expected,S2,camisimGI
Salinispira pacifica,0.0,1307761,Expected,S2,camisimGI
Mobiluncus curtisii,0.0,2051,Expected,S2,camisimGI
Capnocytophaga haemolytica,0.0,45243,Expected,S2,camisimGI
Campylobacter peloridis,0.0,488546,Expected,S2,camisimGI
Candidatus Arthromitus sp. SFB-rat-Yit,0.0,1041504,Expected,S2,camisimGI
Coriobacterium glomerans,0.0,33871,Expected,S2,camisimGI
Siansivirga zeaxanthinifaciens,0.0,762954,Expected,S2,camisimGI
Jeotgalibaca sp. PTS2502,0.0,1903686,Expected,S2,camisimGI
Bifidobacterium scardovii,0.0,158787,Expected,S2,camisimGI
Burkholderia mallei,0.0,13373,Expected,S2,camisimGI
Streptococcus constellatus,0.0,76860,Expected,S2,camisimGI
Alkaliphilus oremlandii,0.0,461876,Expected,S2,camisimGI
Blautia sp. YL58,0.0,1796616,Expected,S2,camisimGI
Myroides odoratimimus,0.0,76832,Expected,S2,camisimGI
Dialister pneumosintes,0.0,39950,Expected,S2,camisimGI
Aequorivita sublithincola,0.0,101385,Expected,S2,camisimGI
Bacteroides cellulosilyticus,0.0,246787,Expected,S2,camisimGI
Bordetella trematum,0.0,123899,Expected,S2,camisimGI
Desulfovibrio desulfuricans,0.0,876,Expected,S2,camisimGI
Dichelobacter nodosus,0.0,870,Expected,S2,camisimGI
Erysipelothrix larvae,0.0,1514105,Expected,S2,camisimGI
Sneathia amnii,0.0,187101,Expected,S2,camisimGI
Histophilus somni,0.0,731,Expected,S2,camisimGI
[Haemophilus] ducreyi,0.0,730,Expected,S2,camisimGI
Haemophilus parainfluenzae,0.0,729,Expected,S2,camisimGI
Haemophilus influenzae,0.0,727,Expected,S2,camisimGI
Seonamhaeicola sp. S2-3,0.0,1936081,Expected,S2,camisimGI
Actinobacillus equuli,0.0,718,Expected,S2,camisimGI
Actinobacillus suis,0.0,716,Expected,S2,camisimGI
Actinobacillus pleuropneumoniae,0.0,715,Expected,S2,camisimGI
Aggregatibacter actinomycetemcomitans,0.0,714,Expected,S2,camisimGI
Polaribacter vadi,0.0,1774273,Expected,S2,camisimGI
Carnobacterium maltaromaticum,0.0,2751,Expected,S2,camisimGI
Cellulosilyticum lentocellum,0.0,29360,Expected,S2,camisimGI
Lachnoclostridium phytofermentans,0.0,66219,Expected,S2,camisimGI
[Clostridium] cellulosi,0.0,29343,Expected,S2,camisimGI
Rothia mucilaginosa,0.0,43675,Expected,S2,camisimGI
Coraliomargarita akajimensis,0.0,395922,Expected,S2,camisimGI
Klebsiella variicola,0.0,244366,Expected,S2,camisimGI
Brevundimonas sp. DS20,0.0,1532555,Expected,S2,camisimGI
Candidatus Symbiobacter mobilis,0.0,1436290,Expected,S2,camisimGI
Aggregatibacter aphrophilus,0.0,732,Expected,S2,camisimGI
Clostridium acetobutylicum,0.0,1488,Expected,S2,camisimGI
Fusobacterium nucleatum,0.0,851,Expected,S2,camisimGI
[Haemophilus] parasuis,0.0,738,Expected,S2,camisimGI
Coriobacteriaceae bacterium 68-1-3,0.0,1531429,Expected,S2,camisimGI
Prevotella ruminicola,0.0,839,Expected,S2,camisimGI
Porphyromonas gingivalis,0.0,837,Expected,S2,camisimGI
Desulfovibrio alaskensis,0.0,58180,Expected,S2,camisimGI
Nonlabens dokdonensis,0.0,328515,Expected,S2,camisimGI
Campylobacter ureolyticus,0.0,827,Expected,S2,camisimGI
Sebaldella termitidis,0.0,826,Expected,S2,camisimGI
Campylobacter gracilis,0.0,824,Expected,S2,camisimGI
Bacteroides vulgatus,0.0,821,Expected,S2,camisimGI
Cellulophaga baltica,0.0,76594,Expected,S2,camisimGI
Marinilactibacillus sp. 15R,0.0,1911586,Expected,S2,camisimGI
Eggerthella sp. YY7918,0.0,502558,Expected,S2,camisimGI
Veillonella parvula,0.0,29466,Expected,S2,camisimGI
Desulfotomaculum kuznetsovii,0.0,58135,Expected,S2,camisimGI
Chryseobacterium sp. IHB B 17019,0.0,1721091,Expected,S2,camisimGI
Bacteroides ovatus,0.0,28116,Expected,S2,camisimGI
Gallibacterium anatis,0.0,750,Expected,S2,camisimGI
Pasteurella multocida,0.0,747,Expected,S2,camisimGI
Winogradskyella sp. PG-2,0.0,754409,Expected,S2,camisimGI
Rothia dentocariosa,0.0,2047,Expected,S2,camisimGI
BACTEROIDES_UNIFORMIS,0.047,820,Expected,expected,tourlousse
BLAUTIA_SP._NBRC-113351,0.045,2877527,Expected,expected,tourlousse
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.053,1531,Expected,expected,tourlousse
PARABACTEROIDES_DISTASONIS,0.048,823,Expected,expected,tourlousse
BACILLUS_SUBTILIS,0.052,1423,Expected,expected,tourlousse
STREPTOCOCCUS_MUTANS,0.069,1309,Expected,expected,tourlousse
PSEUDOMONAS_PUTIDA,0.039,303,Expected,expected,tourlousse
LACTOBACILLUS_DELBRUECKII,0.036,1584,Expected,expected,tourlousse
ESCHERICHIA_COLI,0.056,562,Expected,expected,tourlousse
FLAVONIFRACTOR_PLAUTII,0.037,292800,Expected,expected,tourlousse
STAPHYLOCOCCUS_EPIDERMIDIS,0.048,1282,Expected,expected,tourlousse
CUTIBACTERIUM_ACNES,0.05,1747,Expected,expected,tourlousse
BIFIDOBACTERIUM_LONGUM,0.1,216816,Expected,expected,tourlousse
ANAEROSTIPES_CACCAE,0.053,105841,Expected,expected,tourlousse
RUMINOCOCCUS_GNAVUS,0.056,33038,Expected,expected,tourlousse
MEGASPHAERA_MASSILIENSIS,0.048,1232428,Expected,expected,tourlousse
MEGAMONAS_FUNIFORMIS,0.037,437897,Expected,expected,tourlousse
COLLINSELLA_AEROFACIENS,0.062,74426,Expected,expected,tourlousse
AKKERMANSIA_MUCINIPHILA,0.06,239935,Expected,expected,tourlousse
AKKERMANSIA_MUCINIPHILA,0.0018,239935,Expected,expected,hilo
ALISTIPES_FINEGOLDII,0.013,214856,Expected,expected,hilo
ANAEROSTIPES_HADRUS,0.0175,649756,Expected,expected,hilo
BACTEROIDES_THETAIOTAOMICRON,0.0772,818,Expected,expected,hilo
BACTEROIDES_UNIFORMIS,0.0105,820,Expected,expected,hilo
BIFIDOBACTERIUM_LONGUM,0.3702,216816,Expected,expected,hilo
BLAUTIA_WEXLERAE,0.0011,418240,Expected,expected,hilo
CLOSTRIDIUM_BUTYRICUM,0.1059,1492,Expected,expected,hilo
COLLINSELLA_AEROFACIENS,0.0199,74426,Expected,expected,hilo
ESCHERICHIA_COLI,0.0933,562,Expected,expected,hilo
EUBACTERIUM_HALLII,0.0148,39488,Expected,expected,hilo
FAECALIBACTERIUM_PRAUSNITZII,0.0016,853,Expected,expected,hilo
LACTOBACILLUS_GASSERI,0.0026,1596,Expected,expected,hilo
PARABACTEROIDES_DISTASONIS,0.101,823,Expected,expected,hilo
PREVOTELLA_COPRI,0.1384,165179,Expected,expected,hilo
PREVOTELLA_MELANINOGENICA,0.0153,28132,Expected,expected,hilo
ROSEBURIA_HOMINIS,0.0135,301301,Expected,expected,hilo
ROSEBURIA_INTESTINALIS,0.0011,166486,Expected,expected,hilo
RUMINOCOCCUS_GAUVREAUII,0.0012,438033,Expected,expected,hilo
AKKERMANSIA_MUCINIPHILA,0.0637,239935,Expected,expected,mixed
ALISTIPES_FINEGOLDII,0.0454,214856,Expected,expected,mixed
ANAEROSTIPES_HADRUS,0.0611,649756,Expected,expected,mixed
BACTEROIDES_THETAIOTAOMICRON,0.0269,818,Expected,expected,mixed
BACTEROIDES_UNIFORMIS,0.0366,820,Expected,expected,mixed
BIFIDOBACTERIUM_LONGUM,0.1292,216816,Expected,expected,mixed
BLAUTIA_WEXLERAE,0.0377,418240,Expected,expected,mixed
CLOSTRIDIUM_BUTYRICUM,0.037,1492,Expected,expected,mixed
COLLINSELLA_AEROFACIENS,0.0695,74426,Expected,expected,mixed
ESCHERICHIA_COLI,0.0326,562,Expected,expected,mixed
EUBACTERIUM_HALLII,0.0516,39488,Expected,expected,mixed
FAECALIBACTERIUM_PRAUSNITZII,0.0549,853,Expected,expected,mixed
LACTOBACILLUS_GASSERI,0.0897,1596,Expected,expected,mixed
PARABACTEROIDES_DISTASONIS,0.0352,823,Expected,expected,mixed
PREVOTELLA_COPRI,0.0483,165179,Expected,expected,mixed
PREVOTELLA_MELANINOGENICA,0.0534,28132,Expected,expected,mixed
ROSEBURIA_HOMINIS,0.0472,301301,Expected,expected,mixed
ROSEBURIA_INTESTINALIS,0.0388,166486,Expected,expected,mixed
RUMINOCOCCUS_GAUVREAUII,0.0413,438033,Expected,expected,mixed
