Species,Count
Capnocytophaga cynodegmi,5.63E-07
Pseudonocardia acaciae,5.63E-07
Myroides odoratimimus,5.55E-07
Microbacterium azadirachtae,5.48E-07
Kordia algicida,5.48E-07
Acidipropionibacterium thoenii,5.48E-07
Pseudorhizobium pelagicum,5.41E-07
Motiliproteus sp. MSK22-1,5.41E-07
Acinetobacter sp. COS3,5.34E-07
Lentibacter algarum,5.34E-07
Nocardiopsis baichengensis,5.34E-07
Lentzea guizhouensis,5.34E-07
Citreimonas salinaria,5.34E-07
Methyloferula stellata,5.27E-07
Nonlabens sediminis,5.27E-07
Leisingera methylohalidivorans,5.27E-07
Candidatus Liberibacter asiaticus,5.19E-07
Streptomyces resistomycificus,5.12E-07
Acinetobacter sp. BMW17,5.12E-07
Frankia discariae,5.12E-07
Pseudomonas mendocina,5.12E-07
Knoellia aerolata,5.12E-07
Nonlabens dokdonensis,5.12E-07
Cellulomonas gilvus,5.05E-07
Nonomuraea sp. NBRC 110462,4.98E-07
Capnocytophaga gingivalis,4.98E-07
Pseudomonas fulva,4.98E-07
Aeromicrobium marinum,4.91E-07
Rhizobium alamii,4.91E-07
Loktanella sediminum,4.91E-07
Marivita hallyeonensis,4.91E-07
Fulvimarina pelagi,4.91E-07
Jiangella gansuensis,4.91E-07
Aliivibrio fischeri,4.91E-07
Teredinibacter sp. 1162T.S.0a.05,4.83E-07
Pseudomonas cremoricolorata,4.83E-07
Marinosulfonomonas sp. PRT-SC04,4.83E-07
alpha proteobacterium IMCC14465,4.83E-07
Cryptosporangium arvum,4.83E-07
Candidatus Liberibacter solanacearum,4.83E-07
Amycolatopsis nigrescens,4.76E-07
Agrobacterium arsenijevicii,4.76E-07
Pseudoalteromonas distincta,4.76E-07
Nonomuraea coxensis,4.76E-07
Marinospirillum alkaliphilum,4.76E-07
Rhizobium sp. Root651,4.76E-07
Marinobacterium sp. AK27,4.76E-07
Cellulophaga baltica,4.76E-07
Geodermatophilaceae bacterium URHB0062,4.76E-07
Marinobacterium stanieri,4.69E-07
Thiomicrospira sp. Milos-T2,4.69E-07
Albidovulum xiamenense,4.69E-07
Tranquillimonas alkanivorans,4.69E-07
Parvularcula bermudensis,4.69E-07
Pimelobacter simplex,4.62E-07
gamma proteobacterium HTCC2207,4.62E-07
Pseudoxanthobacter soli,4.54E-07
Roseinatronobacter thiooxidans,4.54E-07
Thioalkalimicrobium cyclicum,4.54E-07
Saccharothrix sp. ST-888,4.54E-07
Tolypothrix campylonemoides,4.54E-07
Pseudonocardia dioxanivorans,4.54E-07
Ancylobacter rudongensis,4.54E-07
Amycolatopsis benzoatilytica,4.47E-07
Jiangella alkaliphila,4.47E-07
Sphaerimonospora mesophila,4.47E-07
Capnocytophaga sputigena,4.47E-07
Marmoricola sp. URHB0036,4.47E-07
Altibacter lentus,4.40E-07
Winogradskyella sp. PG-2,4.40E-07
Actinomyces sp. ph3,4.40E-07
Actinomyces odontolyticus,4.40E-07
Aeromicrobium sp. Leaf291,4.40E-07
Corynebacterium variabile,4.33E-07
Blastochloris viridis,4.33E-07
Acinetobacter sp. Ver3,4.33E-07
Litoreibacter arenae,4.33E-07
Bartonella birtlesii,4.26E-07
Bartonella doshiae,4.26E-07
Neptuniibacter caesariensis,4.26E-07
Planobispora rosea,4.26E-07
Epibacterium ulvae,4.26E-07
Nocardioides luteus,4.26E-07
Umezawaea tangerina,4.26E-07
Pseudodonghicola xiamenensis,4.18E-07
Actinomyces massiliensis,4.18E-07
Actinomyces oris,4.18E-07
Rhizobium sp. YS-1r,4.18E-07
Thiomicrospira sp. Kp2,4.18E-07
Actinomyces hongkongensis,4.18E-07
Acinetobacter sp. AR2-3,4.11E-07
Bartonella rattaustraliani,4.11E-07
Thiomicrospira kuenenii,4.11E-07
gamma proteobacterium HIMB55,4.11E-07
Saccharopolyspora spinosa,4.11E-07
Marinomonas ushuaiensis,4.11E-07
Methyloceanibacter caenitepidi,4.11E-07
Streptomyces sp. SBT349,4.04E-07
Streptomyces mobaraensis,4.04E-07
Mesorhizobium amorphae,4.04E-07
Frankia inefficax,4.04E-07
Saccharopolyspora erythraea,4.04E-07
Leeuwenhoekiella sp. MAR_2009_132,4.04E-07
Oceaniovalibus guishaninsula,4.04E-07
Bartonella ancashensis,4.04E-07
Kineosporia aurantiaca,3.97E-07
Agrobacterium albertimagni,3.97E-07
Methylobacterium aquaticum,3.97E-07
Streptomyces specialis,3.97E-07
Flavobacterium rivuli,3.90E-07
Vibrio alginolyticus,3.90E-07
Thioalkalivibrio sp. ALJ1,3.90E-07
Brevundimonas diminuta,3.82E-07
Kiloniella litopenaei,3.82E-07
Nitrincola lacisaponensis,3.82E-07
Gilvimarinus agarilyticus,3.82E-07
Leisingera daeponensis,3.82E-07
Phycicoccus sp. Soil803,3.82E-07
Capnocytophaga canis,3.82E-07
Catenulispora acidiphila,3.82E-07
Rhodococcus maanshanensis,3.82E-07
Aeromicrobium massiliense,3.75E-07
Thiomicrospira pelophila,3.75E-07
marine gamma proteobacterium HTCC2148,3.75E-07
Flavobacterium columnare,3.75E-07
Streptacidiphilus oryzae,3.75E-07
Blastococcus sp. URHD0036,3.75E-07
Rhizobium sp. LC145,3.75E-07
Gammaproteobacteria bacterium MOLA455,3.68E-07
Aeromicrobium sp. Root495,3.68E-07
Ruegeria lacuscaerulensis,3.68E-07
Cellvibrio sp. BR,3.68E-07
Devosia sp. Root685,3.68E-07
Pontibaca methylaminivorans,3.68E-07
Pseudoalteromonas arctica,3.68E-07
Pustulibacterium marinum,3.61E-07
Hyphomonas jannaschiana,3.61E-07
Alkanindiges illinoisensis,3.61E-07
Paraglaciecola psychrophila,3.61E-07
Acinetobacter haemolyticus,3.61E-07
Pseudomonas alcaligenes,3.53E-07
Dokdonia donghaensis,3.53E-07
Mesorhizobium loti,3.53E-07
Capnocytophaga sp. oral taxon 380,3.53E-07
Thioalkalivibrio sp. ALJT,3.46E-07
Photobacterium damselae,3.46E-07
Erythrobacter longus,3.46E-07
Kaistia adipata,3.46E-07
Geodermatophilus obscurus,3.39E-07
Nocardioides sp. Soil805,3.39E-07
Altererythrobacter marensis,3.39E-07
Streptomyces phaeochromogenes,3.39E-07
Acidipropionibacterium jensenii,3.39E-07
Psychroflexus torquis,3.39E-07
Nocardioides sp. URHA0032,3.39E-07
Aminobacter sp. Root100,3.32E-07
Hyphomonas adhaerens,3.32E-07
Flavobacterium akiainvivens,3.32E-07
Candidatus Blastococcus massiliensis,3.32E-07
Flavobacterium gilvum,3.25E-07
Zooshikella ganghwensis,3.25E-07
Corynebacterium kutscheri,3.25E-07
Pseudohaliea rubra,3.25E-07
Ponticaulis koreensis,3.25E-07
[Haemophilus] ducreyi,3.25E-07
Gramella portivictoriae,3.17E-07
Amycolatopsis methanolica,3.17E-07
Sulfitobacter pontiacus,3.17E-07
Nocardioides sp. Root79,3.17E-07
Quadrisphaera sp. DSM 44207,3.17E-07
gamma proteobacterium HdN1,3.17E-07
Frankia symbiont of Datisca glomerata,3.10E-07
Bartonella taylorii,3.10E-07
Loktanella cinnabarina,3.10E-07
Streptomyces violens,3.10E-07
Amycolatopsis mediterranei,3.10E-07
Idiomarinaceae bacterium HL-53,3.10E-07
Zhouia amylolytica,3.10E-07
Mesorhizobium ciceri,3.10E-07
Capnocytophaga sp. oral taxon 326,3.10E-07
Pseudopelagicola gijangensis,3.03E-07
Nocardia sp. BMG111209,3.03E-07
Nocardia tenerifensis,3.03E-07
Streptomyces sp. NRRL F-5126,3.03E-07
Streptomyces ipomoeae,3.03E-07
Pleomorphomonas oryzae,3.03E-07
Rheinheimera sp. KL1,2.96E-07
Roseobacter sp. CCS2,2.96E-07
Roseobacter sp. SK209-2-6,2.96E-07
Thermocrispum municipale,2.96E-07
Nocardia pneumoniae,2.96E-07
Streptomyces albus,2.96E-07
Roseobacter litoralis,2.96E-07
Pantoea rwandensis,2.96E-07
Mangrovimonas sp. TPBH4,2.96E-07
Mesorhizobium sp. Root1471,2.89E-07
Pseudochrobactrum sp. AO18b,2.89E-07
Angustibacter sp. Root456,2.89E-07
Roseivivax isoporae,2.89E-07
Flavobacterium psychrophilum,2.81E-07
Nocardiopsis ganjiahuensis,2.81E-07
Bartonella tribocorum,2.81E-07
Streptacidiphilus rugosus,2.81E-07
Flavobacterium antarcticum,2.81E-07
Sulfitobacter pseudonitzschiae,2.81E-07
Cedecea neteri,2.81E-07
Frankia elaeagni,2.74E-07
Phycicoccus sp. Soil748,2.74E-07
Streptomyces himastatinicus,2.74E-07
Streptomyces ghanaensis,2.74E-07
Kaistia granuli,2.74E-07
Alloactinosynnema album,2.74E-07
Erythrobacter sp. JL475,2.67E-07
Kitasatospora sp. Root187,2.67E-07
Pseudonocardia spinosispora,2.67E-07
Streptomyces iranensis,2.67E-07
Shimia sp. SK013,2.67E-07
Photobacterium gaetbulicola,2.67E-07
Photobacterium phosphoreum,2.67E-07
Idiomarina atlantica,2.60E-07
Acidovorax ebreus,2.60E-07
Aureimonas altamirensis,2.60E-07
Nocardiopsis dassonvillei,2.60E-07
Dietzia maris,2.52E-07
Ornithinimicrobium pekingense,2.52E-07
Nocardiopsis lucentensis,2.52E-07
Erythrobacter sp. NAP1,2.52E-07
Sedimentitalea nanhaiensis,2.52E-07
Nocardioides sp. JS614,2.52E-07
Streptomyces sp. WM4235,2.52E-07
Chishuiella changwenlii,2.52E-07
Tsukamurella paurometabola,2.45E-07
Henriciella marina,2.45E-07
Actinophytocola xinjiangensis,2.45E-07
alpha proteobacterium SCGC AAA536-K22,2.45E-07
Planktomarina temperata,2.38E-07
Pantoea ananatis,2.38E-07
Tomitella biformata,2.38E-07
Staphylococcus epidermidis,2.38E-07
Modestobacter caceresii,2.38E-07
Actinomyces graevenitzii,2.38E-07
Bauldia litoralis,2.38E-07
Lawsonella clevelandensis,2.38E-07
Frankia alni,2.31E-07
Pseudoclavibacter soli,2.31E-07
Luteimonas sp. FCS-9,2.31E-07
Nocardiopsis chromatogenes,2.31E-07
Leucothrix mucor,2.31E-07
Mangrovimonas sp. ST2L12,2.31E-07
Aureimonas sp. Leaf324,2.31E-07
Bartonella vinsonii,2.31E-07
Methylobacterium sp. Leaf399,2.31E-07
Prosthecomicrobium hirschii,2.31E-07
Methylobacterium sp. Leaf89,2.31E-07
Methyloligella halotolerans,2.31E-07
Marinomonas fungiae,2.31E-07
Mycobacterium hassiacum,2.24E-07
Algoriella xinjiangensis,2.24E-07
Erythrobacter vulgaris,2.24E-07
Mycobacterium smegmatis,2.24E-07
Cellvibrio sp. OA-2007,2.24E-07
Allokutzneria albata,2.24E-07
Nocardiopsis gilva,2.24E-07
Actinosynnema mirum,2.24E-07
Balneatrix alpica,2.24E-07
Roseivivax halodurans,2.16E-07
Marmoricola sp. Leaf446,2.16E-07
Jatrophihabitans endophyticus,2.16E-07
Pseudomonas sp. StFLB209,2.16E-07
Methylobacterium sp. Leaf99,2.16E-07
Hirschia maritima,2.16E-07
Devosia riboflavina,2.16E-07
Streptomyces rubrolavendulae,2.16E-07
Methylococcaceae bacterium 73a,2.16E-07
Streptomyces sp. CNS606,2.16E-07
marine gamma proteobacterium HTCC2080,2.09E-07
Thiocystis violascens,2.09E-07
Pseudomonas denitrificans,2.09E-07
Thermocrispum agreste,2.09E-07
Amycolatopsis taiwanensis,2.09E-07
Plautia stali symbiont,2.09E-07
Nakamurella multipartita,2.09E-07
Mycobacterium avium,2.09E-07
Streptomyces sp. TAA204,2.09E-07
Geodermatophilus sp. Leaf369,2.02E-07
Streptomyces sp. MJM8645,2.02E-07
Gammaproteobacteria bacterium RIFCSPLOWO2_12_FULL_47_76,2.02E-07
Enterovibrio calviensis,1.95E-07
Cloacibacterium normanense,1.95E-07
Actinomadura flavalba,1.95E-07
Actinomadura oligospora,1.95E-07
Shigella flexneri,1.95E-07
Pluralibacter gergoviae,1.95E-07
Mycobacterium neoaurum,1.95E-07
Nocardia sp. BMG51109,1.95E-07
Phaeobacter gallaeciensis,1.95E-07
Mesorhizobium sp. UASWS1009,1.88E-07
Methylomicrobium agile,1.88E-07
Alteromonas mediterranea,1.88E-07
Cutibacterium granulosum,1.88E-07
Brevundimonas sp. DS20,1.88E-07
Leucobacter sp. PH1c,1.88E-07
Streptomyces qinglanensis,1.88E-07
Kibdelosporangium phytohabitans,1.88E-07
Knoellia flava,1.88E-07
Kordia zhangzhouensis,1.88E-07
Liberibacter crescens,1.88E-07
Diaphorobacter nitroreducens,1.88E-07
Rubrimonas cliftonensis,1.88E-07
Moritella viscosa,1.88E-07
Arsenicicoccus sp. oral taxon 190,1.88E-07
Vibrio tasmaniensis,1.80E-07
Methylobacterium nodulans,1.80E-07
Aeromicrobium sp. Root472D3,1.80E-07
Streptomyces coelicolor,1.80E-07
Nocardia thailandica,1.80E-07
Piscicoccus intestinalis,1.80E-07
Thiomicrospira sp. Milos-T1,1.80E-07
Leifsonia xyli,1.80E-07
Gordonia polyisoprenivorans,1.80E-07
Pseudoalteromonas prydzensis,1.80E-07
Streptomyces scabrisporus,1.80E-07
Nocardia brasiliensis,1.80E-07
Photobacterium leiognathi,1.80E-07
Gordonia paraffinivorans,1.80E-07
Photobacterium kishitanii,1.80E-07
Shewanella loihica,1.80E-07
Thioalkalimicrobium microaerophilum,1.73E-07
Nocardioides insulae,1.73E-07
Streptomyces yeochonensis,1.73E-07
Nocardioides sp. Root190,1.73E-07
Streptomyces lydicus,1.73E-07
Streptacidiphilus jiangxiensis,1.73E-07
Sporichthya polymorpha,1.73E-07
Marinomonas profundimaris,1.73E-07
Gordonia desulfuricans,1.73E-07
Streptomyces roseoverticillatus,1.73E-07
Actinomadura atramentaria,1.73E-07
Nocardia arthritidis,1.73E-07
Actinomycetospora chiangmaiensis,1.66E-07
Amycolatopsis jejuensis,1.66E-07
Nocardioides sp. J54,1.66E-07
Erwinia billingiae,1.66E-07
Colwellia piezophila,1.66E-07
Methylocapsa aurea,1.66E-07
Rhodovulum sp. PH10,1.66E-07
Lechevalieria aerocolonigenes,1.66E-07
Brevundimonas sp. Root1279,1.66E-07
Streptomyces viridifaciens,1.66E-07
Thiohalocapsa sp. ML1,1.59E-07
Streptomyces sp. BoleA5,1.59E-07
Vibrio tubiashii,1.59E-07
Beutenbergia cavernae,1.59E-07
Streptomyces flavidovirens,1.59E-07
Ferrimonas senticii,1.59E-07
Streptomyces acidiscabies,1.59E-07
Cryocola sp. 340MFSha3.1,1.59E-07
Bartonella koehlerae,1.59E-07
Photobacterium sp. JCM 19050,1.59E-07
Cellulomonas iranensis,1.59E-07
Gilvimarinus polysaccharolyticus,1.59E-07
Streptomyces xiamenensis,1.51E-07
Streptomyces sp. S10(2016),1.51E-07
Lacinutrix sp. 5H-3-7-4,1.51E-07
Bartonella bovis,1.51E-07
Vibrio fluvialis,1.51E-07
Xanthomonas sp. Mitacek01,1.51E-07
Psychroflexus gondwanensis,1.51E-07
Pseudomonas resinovorans,1.51E-07
Beijerinckia indica,1.44E-07
Arenibacter certesii,1.44E-07
Rhodococcus aetherivorans,1.44E-07
Streptomyces hirsutus,1.44E-07
Kordia jejudonensis,1.44E-07
Vibrio scophthalmi,1.44E-07
Nonlabens ulvanivorans,1.44E-07
Amycolatopsis japonica,1.44E-07
Streptomyces kanamyceticus,1.44E-07
Sedimenticola thiotaurini,1.44E-07
Streptomyces cellulosae,1.44E-07
Actinobacteria bacterium OK074,1.44E-07
Grimontia hollisae,1.44E-07
Tetrasphaera australiensis,1.44E-07
Kitasatospora mediocidica,1.44E-07
Psychroflexus tropicus,1.44E-07
Thermomonospora curvata,1.44E-07
Luteipulveratus halotolerans,1.37E-07
Nocardioides alkalitolerans,1.37E-07
Methylophaga nitratireducenticrescens,1.37E-07
Thioalkalimicrobium sp. ALE5,1.37E-07
Methylomarinum vadi,1.37E-07
Nocardia jiangxiensis,1.37E-07
Streptomyces lividans,1.37E-07
Bartonella alsatica,1.37E-07
Geodermatophilaceae bacterium URHB0048,1.37E-07
Rhodopseudomonas palustris,1.37E-07
Saccharomonospora paurometabolica,1.37E-07
Klebsiella oxytoca,1.37E-07
Tenacibaculum maritimum,1.37E-07
Streptomyces sp. CNH287,1.37E-07
Labrys sp. WJW,1.37E-07
Marichromatium purpuratum,1.30E-07
Brevundimonas nasdae,1.30E-07
Nocardiopsis halotolerans,1.30E-07
Novosphingobium malaysiense,1.30E-07
Phormidium sp. OSCR,1.30E-07
Candidatus Pelagibacter sp. IMCC9063,1.30E-07
Chelativorans sp. BNC1,1.30E-07
Algoriphagus marincola,1.30E-07
Borrelia duttonii,1.30E-07
Comamonas aquatica,1.30E-07
Candidatus Liberibacter americanus,1.30E-07
Actinospica robiniae,1.30E-07
Caulobacter vibrioides,1.30E-07
Bartonella melophagi,1.23E-07
Klebsiella michiganensis,1.23E-07
Erythrobacter gangjinensis,1.23E-07
Acuticoccus yangtzensis,1.23E-07
Methylocapsa acidiphila,1.23E-07
Photobacterium swingsii,1.23E-07
Sulfitobacter donghicola,1.23E-07
Rhodococcus jostii,1.23E-07
Raoultella ornithinolytica,1.23E-07
Kitasatospora azatica,1.23E-07
Helicobacteraceae bacterium CG1_02_36_14,1.23E-07
Marmoricola aequoreus,1.23E-07
Rhodospirillum centenum,1.23E-07
Thiohalospira halophila,1.23E-07
Streptomyces pristinaespiralis,1.23E-07
Leifsonia aquatica,1.23E-07
Nocardioides sp. Root682,1.15E-07
Staphylococcus warneri,1.15E-07
Mycobacterium sp. Root265,1.15E-07
Flavobacterium hydatis,1.15E-07
Chelatococcus sambhunathii,1.15E-07
Corynebacterium pseudotuberculosis,1.15E-07
Streptomyces sp. CB02488,1.15E-07
Streptomyces scabiei,1.15E-07
Streptomyces reticuli,1.15E-07
Phenylobacterium zucineum,1.15E-07
Propionibacterium humerusii,1.15E-07
Streptomyces vitaminophilus,1.15E-07
Streptomyces cattleya,1.15E-07
Rhodococcus triatomae,1.15E-07
Cellulomonas carbonis,1.08E-07
Nocardioides sp. Leaf307,1.08E-07
Streptomyces pathocidini,1.08E-07
Streptomyces griseoplanus,1.08E-07
Streptacidiphilus melanogenes,1.08E-07
Pseudomonas taeanensis,1.08E-07
Myroides guanonis,1.08E-07
Sciscionella marina,1.08E-07
Salinisphaera hydrothermalis,1.08E-07
Tsukamurella sp. 1534,1.08E-07
Vibrio anguillarum,1.08E-07
Alishewanella agri,1.08E-07
Nocardia soli,1.08E-07
Kocuria polaris,1.08E-07
Kocuria turfanensis,1.08E-07
Aliivibrio wodanis,1.08E-07
Pseudomonas fluorescens,1.08E-07
Salegentibacter mishustinae,1.08E-07
Pseudomonas koreensis,1.08E-07
Flavobacterium gelidilacus,1.08E-07
Chelativorans sp. J32,1.01E-07
Psychroflexus sediminis,1.01E-07
Salinimicrobium terrae,1.01E-07
Tenacibaculum ovolyticum,1.01E-07
Bosea sp. 117,1.01E-07
Aquimarina latercula,1.01E-07
Mesorhizobium sp. AA22,1.01E-07
Streptomyces silaceus,1.01E-07
Phaeobacter sp. 11ANDIMAR09,1.01E-07
Wenyingzhuangia marina,1.01E-07
Serinicoccus profundi,1.01E-07
Nocardia transvalensis,1.01E-07
Enterobacter cloacae,1.01E-07
Haematomicrobium sanguinis,1.01E-07
Kineosphaera limosa,1.01E-07
Thiomicrospira sp. CG2_30_44_34,1.01E-07
Nocardia carnea,1.01E-07
Herbidospora sakaeratensis,1.01E-07
Nocardia niigatensis,1.01E-07
Kitasatospora setae,1.01E-07
Streptomyces bikiniensis,1.01E-07
Jiangella muralis,1.01E-07
Arthrobacter crystallopoietes,1.01E-07
Millisia brevis,1.01E-07
Branchiibius sp. NY16-3462-2,9.38E-08
Flavobacteria bacterium MS024-3C,9.38E-08
Bartonella sp. DB5-6,9.38E-08
Roseospirillum parvum,9.38E-08
Bartonella schoenbuchensis,9.38E-08
Vibrio cholerae,9.38E-08
Modestobacter sp. Leaf380,9.38E-08
Gordonia hirsuta,9.38E-08
Kitasatospora cheerisanensis,9.38E-08
Haemophilus sputorum,9.38E-08
Providencia rettgeri,9.38E-08
Nocardia farcinica,9.38E-08
Pseudomonas rhizosphaerae,9.38E-08
Streptomyces roseochromogenus,9.38E-08
Microvirga massiliensis,9.38E-08
Streptomyces sp. AS58,9.38E-08
Streptomyces sp. LaPpAH-95,9.38E-08
Streptomyces sp. Tu6071,9.38E-08
Gordonia malaquae,9.38E-08
Mycobacterium heraklionense,9.38E-08
Microbulbifer variabilis,9.38E-08
Candidatus Liberibacter africanus,9.38E-08
Phycicoccus sp. Root563,9.38E-08
Nocardia cyriacigeorgica,8.66E-08
Shigella dysenteriae,8.66E-08
Hyphomonas johnsonii,8.66E-08
Ruegeria halocynthiae,8.66E-08
Methylocystis parvus,8.66E-08
Candidatus Altiarchaeum sp. CG2_30_32_3053,8.66E-08
Saccharomonospora marina,8.66E-08
Pseudoalteromonas sp. '520P1 No. 423',8.66E-08
Roseovarius sp. 217,8.66E-08
Oceanibulbus indolifex,8.66E-08
Asticcacaulis excentricus,8.66E-08
Streptomyces sp. SAT1,8.66E-08
Kineococcus radiotolerans,8.66E-08
Chryseobacterium vrystaatense,8.66E-08
Lentzea albidocapillata,8.66E-08
Pseudomonas saudiphocaensis,8.66E-08
Tenacibaculum mesophilum,8.66E-08
Methylobacterium populi,8.66E-08
Staphylococcus hominis,8.66E-08
Mycobacterium septicum,8.66E-08
Vibrio vulnificus,8.66E-08
Skermanella aerolata,8.66E-08
Streptomyces varsoviensis,8.66E-08
Streptomyces turgidiscabies,8.66E-08
Bartonella grahamii,8.66E-08
Citrobacter amalonaticus,8.66E-08
Tetrasphaera jenkinsii,8.66E-08
Mycobacterium sp. GA-1331,8.66E-08
Azotobacter vinelandii,8.66E-08
Enterobacter lignolyticus,7.93E-08
Streptomyces megasporus,7.93E-08
Gaetbulibacter saemankumensis,7.93E-08
Cyanothece sp. CCY0110,7.93E-08
Streptomyces virginiae,7.93E-08
Mycobacterium sp. Root135,7.93E-08
Nocardiopsis sp. NRRL B-16309,7.93E-08
Rubellimicrobium mesophilum,7.93E-08
Providencia stuartii,7.93E-08
Leucobacter sp. Ag1,7.93E-08
Loktanella sp. 3ANDIMAR09,7.93E-08
Phycicoccus jejuensis,7.93E-08
Luteipulveratus mongoliensis,7.93E-08
Hyphomonas atlantica,7.93E-08
Sulfurovum sp. SCGC AAA036-F05,7.93E-08
Vibrio nigripulchritudo,7.93E-08
Streptomyces ciscaucasicus,7.93E-08
Microtetraspora glauca,7.93E-08
Aeromonas schubertii,7.93E-08
Nocardia mikamii,7.93E-08
Nocardia veterana,7.93E-08
Nocardioides sp. Iso805N,7.93E-08
Flavobacterium subsaxonicum,7.93E-08
Thiohalomonas denitrificans,7.21E-08
Actinotalea ferrariae,7.21E-08
Candidatus Phaeomarinobacter ectocarpi,7.21E-08
Brachybacterium phenoliresistens,7.21E-08
Mycobacterium sp. KMS,7.21E-08
Pantoea dispersa,7.21E-08
Gayadomonas joobiniege,7.21E-08
Streptomyces alboflavus,7.21E-08
Knoellia sinensis,7.21E-08
Rheinheimera texasensis,7.21E-08
Pseudomonas thermotolerans,7.21E-08
Actinomyces sp. oral taxon 181,7.21E-08
Mesorhizobium sp. NBIMC_P2-C3,7.21E-08
Pantoea agglomerans,7.21E-08
Brevibacterium mcbrellneri,7.21E-08
Haematospirillum jordaniae,7.21E-08
Streptomonospora alba,7.21E-08
Sediminibacter sp. Hel_I_10,7.21E-08
Vibrio parahaemolyticus,7.21E-08
Nitrolancea hollandica,7.21E-08
Gilliamella apicola,7.21E-08
Candidatus Tenderia electrophaga,7.21E-08
Pseudomonas xanthomarina,7.21E-08
Streptomyces clavuligerus,7.21E-08
Leeuwenhoekiella marinoflava,7.21E-08
Brevundimonas aveniformis,7.21E-08
Gelidibacter mesophilus,7.21E-08
Kluyvera intermedia,7.21E-08
Sulfolobus acidocaldarius,7.21E-08
Tetrasphaera japonica,7.21E-08
Leifsonia sp. Leaf336,6.49E-08
Luteibacter sp. 9133,6.49E-08
Rhodococcus erythropolis,6.49E-08
Gordonia rhizosphera,6.49E-08
Klebsiella pneumoniae,6.49E-08
Loktanella sp. S4079,6.49E-08
Flavobacterium beibuense,6.49E-08
[Enterobacter] aerogenes,6.49E-08
Thalassotalea sp. LPB0090,6.49E-08
Propionibacterium acidifaciens,6.49E-08
Brevundimonas bacteroides,6.49E-08
Nocardia niwae,6.49E-08
Pseudomonas sp. CB1,6.49E-08
Vibrio breoganii,6.49E-08
Streptomyces leeuwenhoekii,6.49E-08
Sodalis glossinidius,6.49E-08
Streptomyces sp. NRRL B-24484,6.49E-08
Hirschia baltica,6.49E-08
Aquimarina macrocephali,6.49E-08
Streptomyces parvulus,6.49E-08
Vibrio coralliilyticus,6.49E-08
Mycobacterium vaccae,6.49E-08
Streptomycetaceae bacterium MP113-05,6.49E-08
Mycobacterium sp. 155,6.49E-08
Ruania albidiflava,6.49E-08
Salinisphaera shabanensis,6.49E-08
Shewanella violacea,6.49E-08
Brachybacterium squillarum,6.49E-08
[Haemophilus] parasuis,6.49E-08
Tetrasphaera sp. Soil756,6.49E-08
Mycobacterium mageritense,6.49E-08
Kocuria flava,6.49E-08
Idiomarina sediminum,5.77E-08
Ruminococcus bicirculans,5.77E-08
Acidovorax caeni,5.77E-08
Gordonia soli,5.77E-08
Gordonia sputi,5.77E-08
Streptomyces seoulensis,5.77E-08
Kytococcus sedentarius,5.77E-08
Pseudomonas balearica,5.77E-08
Phormidesmis priestleyi,5.77E-08
Moritella dasanensis,5.77E-08
Bacteroidetes bacterium HLUCCA01,5.77E-08
Sedimentibacter sp. B4,5.77E-08
Flavobacterium noncentrifugens,5.77E-08
Actinobacillus succinogenes,5.77E-08
Streptomyces aureus,5.77E-08
Monashia flava,5.77E-08
Micavibrio aeruginosavorus,5.77E-08
Arenimonas oryziterrae,5.77E-08
Stackebrandtia nassauensis,5.77E-08
Psychroserpens mesophilus,5.77E-08
Terasakiella pusilla,5.77E-08
Methylocystis sp. ATCC 49242,5.77E-08
Cellulomonas sp. KRMCY2,5.77E-08
Rhodobacteraceae bacterium HIMB11,5.77E-08
Tersicoccus phoenicis,5.77E-08
Curvibacter lanceolatus,5.77E-08
Microvirga flocculans,5.77E-08
Nocardia asteroides,5.77E-08
Pseudomonas caeni,5.77E-08
Rheinheimera sp. EpRS3,5.77E-08
Arsenicicoccus bolidensis,5.77E-08
Erwinia amylovora,5.77E-08
Serratia rubidaea,5.77E-08
Starkeya novella,5.77E-08
Thiolapillus brandeum,5.77E-08
Kribbia dieselivorans,5.77E-08
Hyphomonas polymorpha,5.77E-08
Mycobacterium sp. UM_Kg1,5.77E-08
Sphingomonas paucimobilis,5.77E-08
Sulfitobacter noctilucicola,5.77E-08
Methylobacterium radiotolerans,5.77E-08
Saccharomonospora cyanea,5.77E-08
Rhodococcus equi,5.77E-08
Streptomyces purpureus,5.77E-08
Oblitimonas alkaliphila,5.77E-08
Citrobacter freundii,5.77E-08
Arsukibacterium ikkense,5.77E-08
Tolumonas auensis,5.05E-08
Paenarthrobacter aurescens,5.05E-08
Streptomyces violaceusniger,5.05E-08
Tetrasphaera elongata,5.05E-08
Streptomyces davawensis,5.05E-08
Dickeya dadantii,5.05E-08
Nocardia seriolae,5.05E-08
Vibrio campbellii,5.05E-08
Streptomyces nodosus,5.05E-08
Mycobacterium chubuense,5.05E-08
Streptomyces catenulae,5.05E-08
Novosphingobium nitrogenifigens,5.05E-08
Streptomyces curacoi,5.05E-08
Demequina aestuarii,5.05E-08
Pilimelia anulata,5.05E-08
Mycobacterium thermoresistibile,5.05E-08
Pseudomonas protegens,5.05E-08
Izhakiella sp. D4N98,5.05E-08
Mycobacterium elephantis,5.05E-08
Comamonas kerstersii,5.05E-08
Marinicella sp. F2,5.05E-08
